scenario,architecture,n,n_finalised,mean_correctness_given_completion,sd_correctness_given_completion,n_correctness,mean_cis_actionable,mean_cis_raw,n_deployed,mean_tokens,mean_wall_clock_s
scenario_002_oltp_small,multi,3,2,1.0,0.0,2,0.9102564102564102,0.7395833333333334,3,62097.0,102.26154805603437
scenario_002_oltp_small,single,3,3,0.8571428571428571,0.07142857142857145,3,0.7948717948717948,0.6458333333333334,3,21600.0,47.36791973638659
scenario_003_oltp_gdpr,multi,3,3,1.0,0.0,3,0.9230769230769231,0.75,3,51594.0,76.03395934721145
scenario_003_oltp_gdpr,single,3,3,1.0,0.0,3,0.9230769230769231,0.75,3,29364.666666666668,51.04216747226504
scenario_004_olap_large,multi,3,3,0.9047619047619048,0.041239304942116174,3,0.9230769230769231,0.75,3,51230.0,87.39846852809812
scenario_004_olap_large,single,3,3,0.9285714285714286,0.07142857142857145,3,0.9102564102564102,0.7395833333333334,3,24289.333333333332,47.51620931938911
scenario_005_cache_heavy,multi,3,3,0.8205128205128205,0.04441155916843272,3,0.8974358974358975,0.7291666666666666,3,37619.0,71.10762118066971
scenario_005_cache_heavy,single,3,3,0.7948717948717949,0.04441155916843272,3,0.9230769230769231,0.75,3,23765.666666666668,43.38948102768821
scenario_006_balanced_hipaa,multi,3,2,0.9444444444444444,0.0,2,0.9230769230769231,0.75,2,54006.333333333336,94.2735722643168
scenario_006_balanced_hipaa,single,3,3,0.8888888888888888,0.055555555555555525,3,0.9230769230769231,0.75,3,17910.333333333332,41.904205847298726
scenario_007_oltp_pci,multi,3,2,0.9722222222222222,0.039283710065919325,2,0.9230769230769231,0.75,3,76344.33333333333,77.72513045797434
scenario_007_oltp_pci,single,3,3,1.0,0.0,3,0.9230769230769231,0.75,3,34791.0,49.05073918029666
scenario_008_olap_gdpr,multi,3,3,0.9411764705882353,0.0,3,0.9230769230769231,0.75,3,54772.0,75.85199843005587
scenario_008_olap_gdpr,single,3,3,0.9607843137254902,0.03396178054056623,3,0.9230769230769231,0.75,3,16943.0,48.89050231943838
scenario_009_cache_constrained,multi,3,3,0.8717948717948718,0.044411559168432785,3,0.8846153846153847,0.71875,3,36523.333333333336,65.50548354171526
scenario_009_cache_constrained,single,3,2,0.8461538461538461,0.0,2,0.9230769230769231,0.75,2,53234.333333333336,58.039421763969585
scenario_010_balanced_large,multi,3,3,0.9285714285714286,0.07142857142857145,3,0.9230769230769231,0.75,3,26398.0,59.42386249965057
scenario_010_balanced_large,single,3,3,0.9285714285714286,0.0,3,0.9230769230769231,0.75,3,28878.333333333332,46.29765098604063
scenario_011_oltp_hipaa_constrained,multi,3,3,0.8888888888888888,0.0962250448649376,3,0.9230769230769231,0.75,3,32562.666666666668,72.75835863896646
scenario_011_oltp_hipaa_constrained,single,3,3,0.9814814814814815,0.03207501495497923,3,0.9230769230769231,0.75,3,15019.333333333334,41.69153290273001
scenario_012_olap_pci,multi,3,2,0.9166666666666666,0.039283710065919325,2,0.9358974358974359,0.7604166666666666,3,71105.0,100.35051966668107
scenario_012_olap_pci,single,3,3,0.9444444444444444,0.0,3,0.9230769230769231,0.75,3,35438.333333333336,51.02154290257022
smoke_test_001,multi,3,3,0.8205128205128205,0.04441155916843272,3,0.8205128205128205,0.6666666666666666,3,34909.333333333336,66.25349941671205
smoke_test_001,single,3,3,0.8461538461538461,0.07692307692307693,3,0.8205128205128205,0.6666666666666666,3,12196.333333333334,37.17068644465568
