dataset,scenario,architecture,n,n_finalised,mean_correctness_given_completion,sd_correctness_given_completion,n_correctness,mean_cis_actionable,mean_cis_raw,n_deployed,mean_tokens,mean_wall_clock_s
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_002_oltp_small,multi,1,0,,,0,,0.75,0,101370,2609.9268049590755
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_002_oltp_small,single,1,1,0.8571428571428571,,1,,0.75,0,21948,1114.7346245830413
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_003_oltp_gdpr,multi,1,1,1.0,,1,,,0,78675,2267.978079417022
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_003_oltp_gdpr,single,1,1,1.0,,1,,0.75,0,13651,478.7497891669627
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_004_olap_large,multi,1,1,0.7857142857142857,,1,,0.75,0,37758,1088.5441631251015
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_004_olap_large,single,1,1,0.7857142857142857,,1,,0.75,0,10132,376.948670957936
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_005_cache_heavy,multi,1,0,,,0,,0.75,0,100696,2163.416637457907
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_005_cache_heavy,single,1,1,0.8461538461538461,,1,,0.75,0,77508,2493.5483076670207
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_006_balanced_hipaa,multi,1,1,0.8888888888888888,,1,,0.75,0,69259,1799.987768583931
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_006_balanced_hipaa,single,1,1,1.0,,1,,0.75,0,15834,412.241428000154
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_007_oltp_pci,multi,1,1,1.0,,1,,0.75,0,88009,2227.828492834
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_007_oltp_pci,single,1,1,1.0,,1,,0.75,0,10250,372.10870316717774
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_008_olap_gdpr,multi,1,1,0.9411764705882353,,1,,0.75,0,91647,2423.393761415966
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_008_olap_gdpr,single,1,1,0.9411764705882353,,1,,0.75,0,39170,1676.0444223331288
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_009_cache_constrained,multi,1,1,0.7692307692307693,,1,,0.75,0,35348,1018.3897973750718
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_009_cache_constrained,single,1,1,0.9230769230769231,,1,,0.625,0,72338,2348.716422500089
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_010_balanced_large,multi,1,0,,,0,,0.75,0,100199,2188.166920249816
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_010_balanced_large,single,1,1,0.9285714285714286,,1,,0.75,0,18166,748.884288958041
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_011_oltp_hipaa_constrained,multi,1,0,,,0,,0.75,0,100641,2701.0251812080387
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_011_oltp_hipaa_constrained,single,1,1,0.9444444444444444,,1,,0.75,0,27979,830.312806708971
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_012_olap_pci,multi,1,0,,,0,,0.75,0,100418,3268.8131350830663
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,scenario_012_olap_pci,single,1,1,0.7777777777777778,,1,,0.75,0,19191,539.301217332948
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,smoke_test_001,multi,1,1,0.8461538461538461,,1,,0.75,0,55164,1343.959012583131
qwen2.5:14b pilot @ cac0ba1 — NOT pooled with Study 1,smoke_test_001,single,1,1,0.7692307692307693,,1,,0.75,0,48840,1352.2844711251091
