scenario_id,role,architecture,n,completion,exact,precision,recall,f1,correctness,parameters_checked,cis_actionable,tokens,wall_clock_s
s2_001_static_brochure,minimal,single,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,26154.666666666668,35.1466559303614
s2_002_distractor_cache,distractor,single,3,1.0,0.0,0.5,0.5,0.4444444444444444,0.873015873015873,8.0,0.8691520467836257,56181.0,165.82373126371144
s2_003_distractor_queue,distractor,single,3,1.0,0.0,1.0,0.4444444444444444,0.6,0.8361111111111111,6.333333333333333,0.9120370370370369,32980.666666666664,111.08844281934823
s2_004_inferred_queue,inferred,single,3,1.0,0.0,0.8888888888888888,0.4444444444444444,0.5555555555555555,1.0,7.666666666666667,0.9188034188034188,16726.333333333332,64.09282877800676
s2_005_inferred_cache,inferred,single,3,1.0,0.6666666666666666,1.0,0.7777777777777777,0.8333333333333334,0.8051282051282053,10.333333333333334,0.907051282051282,37902.666666666664,209.50768661126494
s2_006_analytics_estate,straightforward,single,3,1.0,0.0,0.6666666666666666,1.0,0.8000000000000002,0.8888888888888888,9.0,0.923076923076923,43609.666666666664,116.5201072776302
s2_007_payments_full_stack,straightforward,single,3,1.0,0.0,1.0,0.75,0.8571428571428571,1.0,18.0,0.923076923076923,48074.666666666664,112.176160667014
s2_008_backend_worker,straightforward,single,3,1.0,0.0,0.4444444444444444,0.5,0.4666666666666666,0.9047619047619048,7.0,0.9373219373219372,19780.666666666668,86.38801670835043
s2_001_static_brochure,minimal,multi,3,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,2.0,1.0,43725.0,46.203154152996525
s2_002_distractor_cache,distractor,multi,3,1.0,0.0,0.38888888888888884,0.5,0.43333333333333335,0.7142857142857143,8.0,0.8525641025641025,63358.0,167.88848200032953
s2_003_distractor_queue,distractor,multi,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7692307692307693,13.0,0.8846153846153846,82522.0,169.285875791645
s2_004_inferred_queue,inferred,multi,3,1.0,0.0,0.8888888888888888,0.4444444444444444,0.5555555555555555,1.0,7.666666666666667,0.9188034188034188,71739.66666666667,215.19471126395123
s2_005_inferred_cache,inferred,multi,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5,0.7846153846153847,9.0,0.8958333333333333,75183.66666666667,91.2343634586238
s2_006_analytics_estate,straightforward,multi,3,0.6666666666666666,0.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7222222222222222,9.0,0.9230769230769231,83714.0,148.01124215265736
s2_007_payments_full_stack,straightforward,multi,3,1.0,0.3333333333333333,1.0,0.8333333333333334,0.9047619047619048,0.931111111111111,20.333333333333332,0.9230769230769231,57367.666666666664,184.86210727796424
s2_008_backend_worker,straightforward,multi,3,1.0,0.0,0.38888888888888884,0.5,0.43333333333333335,0.8571428571428572,7.0,0.9230769230769231,45689.666666666664,134.82316584698856
