architecture,role,service,TP,FP,FN,TN
single,minimal,postgres,0,0,0,3
single,minimal,nginx,3,0,0,0
single,minimal,redis,0,0,0,3
single,minimal,rabbitmq,0,0,0,3
single,distractor,postgres,4,0,2,0
single,distractor,nginx,2,0,4,0
single,distractor,redis,1,2,2,1
single,distractor,rabbitmq,0,1,0,5
single,inferred,postgres,5,0,1,0
single,inferred,nginx,3,0,3,0
single,inferred,redis,3,1,0,2
single,inferred,rabbitmq,0,0,3,3
single,straightforward,postgres,9,0,0,0
single,straightforward,nginx,6,3,0,0
single,straightforward,redis,3,4,0,2
single,straightforward,rabbitmq,0,0,6,3
multi,minimal,postgres,0,0,0,3
multi,minimal,nginx,3,0,0,0
multi,minimal,redis,0,0,0,3
multi,minimal,rabbitmq,0,0,0,3
multi,distractor,postgres,4,0,1,0
multi,distractor,nginx,3,0,2,0
multi,distractor,redis,2,3,0,0
multi,distractor,rabbitmq,0,0,0,5
multi,inferred,postgres,4,0,1,0
multi,inferred,nginx,2,0,3,0
multi,inferred,redis,2,1,0,2
multi,inferred,rabbitmq,0,0,3,2
multi,straightforward,postgres,8,0,0,0
multi,straightforward,nginx,5,2,0,1
multi,straightforward,redis,3,5,0,0
multi,straightforward,rabbitmq,1,0,5,2
