scenario_id,role,architecture,n,completion,exact,precision,recall,f1,correctness,parameters_checked,tokens,tokens_max,wall_clock_s
s2_001_static_brochure,minimal,single,10,1.0,0.7,0.85,1.0,0.9,1.0,2.0,24191.2,65725,34.373980950086846
s2_002_distractor_cache,distractor,single,10,1.0,0.0,0.3666666666666666,0.5,0.42000000000000004,1.0,7.5,36401.1,59403,69.32456166230841
s2_003_distractor_queue,distractor,single,10,0.9,0.5,0.8666666666666666,0.6666666666666666,0.7166666666666666,0.8063492063492064,9.666666666666666,105347.4,302778,157.69562388748164
s2_004_inferred_queue,inferred,single,10,1.0,0.0,0.9666666666666666,0.5333333333333333,0.6666666666666667,0.9777777777777779,8.2,44608.0,93623,66.62263598309364
s2_005_inferred_cache,inferred,single,10,1.0,0.5,1.0,0.7333333333333333,0.8099999999999999,0.8135531135531135,9.7,37824.2,57393,85.26053203349002
s2_006_analytics_estate,straightforward,single,10,1.0,0.5,0.9333333333333332,0.85,0.86,0.8539682539682539,8.4,20107.7,44833,42.6074655417935
s2_007_payments_full_stack,straightforward,single,10,1.0,0.1,1.0,0.7,0.8066666666666666,1.0,17.6,41618.0,136053,81.4650625251932
s2_008_backend_worker,straightforward,single,10,0.9,0.0,0.45,0.45,0.43666666666666665,0.9206349206349207,7.0,43713.2,94029,111.60038543730043
s2_001_static_brochure,minimal,multi,10,1.0,0.7,0.8333333333333334,1.0,0.8833333333333332,1.0,2.0,36631.1,76983,45.53094284579856
s2_002_distractor_cache,distractor,multi,10,1.0,0.0,0.6666666666666667,0.65,0.6199999999999999,0.8324514991181657,7.333333333333333,45960.0,88466,101.13419457108247
s2_003_distractor_queue,distractor,multi,10,1.0,0.3,0.9,0.8666666666666666,0.8528571428571429,0.8482517482517483,11.9,58983.3,103874,130.257586312294
s2_004_inferred_queue,inferred,multi,10,1.0,0.0,0.6833333333333333,0.7333333333333334,0.7047619047619047,0.982638888888889,10.4,91215.5,189222,207.06937139999354
s2_005_inferred_cache,inferred,multi,10,1.0,0.8,1.0,0.9333333333333332,0.96,0.7730769230769231,12.0,73417.4,234059,157.78128232090967
s2_006_analytics_estate,straightforward,multi,10,1.0,0.1,0.7,0.9,0.7633333333333333,0.8682539682539684,8.6,62568.5,93131,112.28865093740168
s2_007_payments_full_stack,straightforward,multi,10,1.0,0.0,1.0,0.6,0.72,0.9733333333333334,14.4,68360.4,157298,136.80065002900082
s2_008_backend_worker,straightforward,multi,10,1.0,0.0,0.5666666666666667,0.55,0.5166666666666667,0.9428571428571428,7.7,58515.5,108980,140.99920845008455
