service,arm,TP,FP,FN,TN,precision,recall
postgres,parallel,53,0,17,10,1.0,0.7571
postgres,single,58,1,10,9,0.9831,0.8529
postgres,multi,67,1,3,9,0.9853,0.9571
nginx,parallel,32,0,38,10,1.0,0.4571
nginx,single,49,6,20,3,0.8909,0.7101
nginx,multi,55,8,15,2,0.873,0.7857
redis,parallel,21,5,9,45,0.8077,0.7
redis,single,25,19,4,30,0.5682,0.8621
redis,multi,28,30,2,20,0.4828,0.9333
rabbitmq,parallel,4,0,26,50,1.0,0.1333
rabbitmq,single,2,1,26,49,0.6667,0.0714
rabbitmq,multi,1,6,29,44,0.1429,0.0333
