comparison,metric,n_scenarios,mean_delta,sd,ci_low,ci_high,t,df,excludes_null
parallel - single,selection_f1,8,-0.0061904761904762046,0.19161597757917176,-0.16638544236519343,0.15400448998424104,-0.0913770917929006,7,False
parallel - single,selection_precision,8,0.16562500000000002,0.2538762001448738,-0.046620814824966356,0.37787081482496643,1.8452231531303973,7,False
parallel - single,selection_recall,8,-0.10208333333333335,0.15645819462932153,-0.23288565740385947,0.028718990737192765,-1.8454467640290386,7,False
parallel - single,correctness,8,0.026114302364302393,0.17775336559087399,-0.12249123015976307,0.17471983488836787,0.4155330668732419,7,False
parallel - single,cis_pass_rate_actionable,8,-0.0065482817620975825,0.07852768828216995,-0.07219907209320797,0.05910250856901281,-0.23585741744804337,7,False
parallel - single,tokens_used,8,-7108.75,22505.247116617047,-25923.607435938582,11706.107435938582,-0.8934174869910013,7,False
parallel - single,wall_clock_s,8,-33.14541464634989,120.32454966100862,-133.73925554862626,67.44842625592648,-0.7791376748204473,7,False
parallel - multi,selection_f1,8,-0.05172619047619049,0.17867234110116426,-0.20110000575332396,0.097647624800943,-0.8188383232735953,7,False
parallel - multi,selection_precision,8,0.16979166666666662,0.14057263134244757,0.05227000585583998,0.2873133274774933,3.4163361030494435,7,True
parallel - multi,selection_recall,8,-0.18645833333333334,0.21100371902988924,-0.362861856983998,-0.010054809682668697,-2.4994052714315496,7,True
parallel - multi,correctness,8,-0.044760628260628224,0.06207058344476383,-0.09665293463821356,0.00713167811695712,-2.039648543109058,7,False
parallel - multi,cis_pass_rate_actionable,8,-0.01086542477989852,0.05568772866461324,-0.057421531021553764,0.035690681461756725,-0.551864170191647,7,False
parallel - multi,tokens_used,8,-31615.9,15307.596235389612,-44413.37071264592,-18818.429287354083,-5.84175776249739,7,True
parallel - multi,wall_clock_s,8,-111.0454657931497,86.7020357765105,-183.53018165020018,-38.560749936099214,-3.622567852259268,7,True
"parallel - single (wall clock, throttle-adjusted)",wall_clock_s,8,13.569780365100554,92.12702905540819,-63.45034337280897,90.58990410301008,0.4166110125880105,7,False
"parallel - multi (wall clock, throttle-adjusted)",wall_clock_s,8,-36.68831714896385,66.47937446414697,-92.26646505784669,18.889830759918993,-1.5609387456162744,7,False
