run_id,scenario_id,role,services_deployed,reserving_services,counts_for_p4,arbitrated,requested_fraction_of_ram,scale_factor,fan_out_wall_clock_s,sum_agent_wall_clock_s,agents
dc5dff7b87c4,s2_002_distractor_cache,distractor,postgres,1,False,False,0.25,1.0,217.365,217.364,1
b4b4717d17e7,s2_002_distractor_cache,distractor,postgres,1,False,False,0.1562,1.0,12.177,12.177,1
94f51879709a,s2_002_distractor_cache,distractor,postgres,1,False,False,0.125,1.0,12.9,12.9,1
5aafab0f1f55,s2_002_distractor_cache,distractor,postgres,1,False,False,0.25,1.0,219.954,219.952,1
caf9a56e1f69,s2_002_distractor_cache,distractor,postgres,1,False,False,0.25,1.0,7.269,7.269,1
3ea0bb136d56,s2_002_distractor_cache,distractor,postgres,1,False,False,0.25,1.0,49.839,49.838,1
c859a1fe1f28,s2_002_distractor_cache,distractor,postgres,1,False,False,0.125,1.0,15.075,15.074,1
bd1d34d5d583,s2_002_distractor_cache,distractor,postgres,1,False,False,0.25,1.0,153.561,153.561,1
e0a885696a3e,s2_002_distractor_cache,distractor,postgres,1,False,False,0.125,1.0,128.153,128.152,1
261cdd2b7c92,s2_002_distractor_cache,distractor,postgres,1,False,False,0.125,1.0,11.502,11.501,1
bcd4d41a5ef5,s2_004_inferred_queue,inferred,"postgres,nginx",1,False,False,0.0625,1.0,229.522,235.657,2
ab44e6ca10a3,s2_004_inferred_queue,inferred,"postgres,nginx,redis",2,True,False,0.3125,1.0,47.792,73.869,3
4a8bc126843a,s2_004_inferred_queue,inferred,"postgres,rabbitmq",2,True,False,0.65,1.0,44.252,68.572,2
71a44819601d,s2_004_inferred_queue,inferred,"nginx,rabbitmq",1,False,False,0.4,1.0,620.713,632.009,3
d82fa40c2497,s2_004_inferred_queue,inferred,"postgres,nginx",1,False,False,0.25,1.0,13.746,20.173,2
c4667af562d0,s2_004_inferred_queue,inferred,"postgres,nginx,redis",2,True,False,0.5,1.0,88.169,104.73,3
f2859fad9b52,s2_004_inferred_queue,inferred,postgres,1,False,False,0.25,1.0,118.409,118.408,1
249e591ba849,s2_004_inferred_queue,inferred,postgres,1,False,False,0.1875,1.0,164.647,164.646,1
69eb93b8d64d,s2_004_inferred_queue,inferred,"postgres,nginx",1,False,False,0.0625,1.0,191.307,200.743,2
2884d0e5cc89,s2_004_inferred_queue,inferred,"postgres,rabbitmq",2,True,False,0.65,1.0,20.308,36.081,2
7cf1c523b757,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,5.271,5.27,1
c71606ba2215,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,10.241,10.24,1
e81b3ae3167b,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,9.971,9.97,1
8b136a5fe66e,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,5.57,5.57,1
3d4e7a40718e,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,58.591,58.59,1
afe52a9e5f4f,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,5.825,5.824,1
9095d839aaee,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,7.095,7.094,1
84ea0d085e6e,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,5.8,5.799,1
2b1fb03b1b60,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,6.477,6.477,1
2ba6cb2f1ef0,s2_001_static_brochure,minimal,nginx,0,False,False,0.0,1.0,5.465,5.464,1
