metric,scenario_id,delta_nano,delta_mini,interaction
correctness,s2_001_static_brochure,0.0,0.0,0.0
correctness,s2_002_distractor_cache,-0.0626984126984127,-0.03703703703703709,0.025661375661375607
correctness,s2_003_distractor_queue,0.0511285011285012,0.0034188034188032956,-0.04770969770969791
correctness,s2_004_inferred_queue,-0.050793650793650835,0.0,0.050793650793650835
correctness,s2_005_inferred_cache,0.025547785547785473,0.0024725274725274637,-0.02307525807525801
correctness,s2_006_analytics_estate,0.014285714285714235,-0.06984126984126982,-0.08412698412698405
correctness,s2_007_payments_full_stack,-0.049851851851851925,-0.00701587301587292,0.042835978835979005
correctness,s2_008_backend_worker,-0.050793650793650724,-0.20000000000000007,-0.14920634920634934
selection_f1,s2_001_static_brochure,0.033333333333333326,0.0,-0.033333333333333326
selection_f1,s2_002_distractor_cache,0.38666666666666666,-0.20000000000000007,-0.5866666666666667
selection_f1,s2_003_distractor_queue,-0.10285714285714287,0.0,0.10285714285714287
selection_f1,s2_004_inferred_queue,-0.15000000000000002,-0.10333333333333339,0.046666666666666634
selection_f1,s2_005_inferred_cache,0.16571428571428581,0.014999999999999791,-0.15071428571428602
selection_f1,s2_006_analytics_estate,-0.09999999999999998,0.0,0.09999999999999998
selection_f1,s2_007_payments_full_stack,0.051322751322751325,-0.08571428571428585,-0.13703703703703718
selection_f1,s2_008_backend_worker,-0.05037037037037034,-0.5466666666666666,-0.4962962962962963
tokens_used,s2_001_static_brochure,13421.3,73854.59999999999,60433.29999999999
tokens_used,s2_002_distractor_cache,5532.9000000000015,126296.7,120763.79999999999
tokens_used,s2_003_distractor_queue,-13644.300000000003,67943.70000000001,81588.00000000001
tokens_used,s2_004_inferred_queue,48500.1,132382.6,83882.5
tokens_used,s2_005_inferred_cache,33497.1,95918.5,62421.4
tokens_used,s2_006_analytics_estate,25163.1,147721.8,122558.69999999998
tokens_used,s2_007_payments_full_stack,64581.0,177056.0,112475.0
tokens_used,s2_008_backend_worker,19006.0,129133.1,110127.1
