service,capability,arm,TP,FP,FN,TN,precision,recall
postgres,nano,single,58,1,10,9,0.9831,0.8529
postgres,nano,multi,67,1,3,9,0.9853,0.9571
postgres,mini,single,68,0,2,10,1.0,0.9714
postgres,mini,multi,48,0,0,8,1.0,1.0
nginx,nano,single,49,6,20,3,0.8909,0.7101
nginx,nano,multi,55,8,15,2,0.873,0.7857
nginx,mini,single,63,0,7,10,1.0,0.9
nginx,mini,multi,51,4,0,1,0.9273,1.0
redis,nano,single,25,19,4,30,0.5682,0.8621
redis,nano,multi,28,30,2,20,0.4828,0.9333
redis,mini,single,30,0,0,50,1.0,1.0
redis,mini,multi,23,23,1,9,0.5,0.9583
rabbitmq,nano,single,2,1,26,49,0.6667,0.0714
rabbitmq,nano,multi,1,6,29,44,0.1429,0.0333
rabbitmq,mini,single,16,0,14,50,1.0,0.5333
rabbitmq,mini,multi,0,0,20,36,0.0,0.0
